IA_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,NORTHING,EASTING,DRNAREA,PRECIP,SOILB,SOILC,SOILD,RSD,HYSEP,STREAM_VAR
05495500,Bear Creek near Marcelline.  IL,0.059004454,662565.9701,0,0.064178581,4444934.448,641628.8696,348.871148,37.9773,55.0979,34.1067,10.4359,0.301854,23.71386,0.752298
05496000,Wyaconda River above Canton.  MO,0.037706148,460133.3333,0,0.055898704,4444516.376,622179.8943,397.997748,37.49204,5.7177,63.1297,30.4857,0.281692,20.3055,0.757308
05568800,Indian Creek near Wyoming.  IL,0.052998369,629042.4584,0,0.064425984,4545678.925,766077.6043,63.196376,36.90654,92.291,7.495,0.1495,0.405875,53.84895,0.619535
05570000,Spoon River at Seville.  IL,0.076501776,795816.6126,0,0.064411415,4485547.473,725404.1253,1637.86591,37.01167,89.4645,8.7742,0.6276,0.357951,51.91568,0.646746
05584500,La Moine River at Colmar.  IL,0.071935059,717377.616,0,0.063528848,4466544.679,678714.204,663.481171,37.80841,76.4625,19.6056,3.6809,0.32998,33.99352,0.70309
05585000,La Moine River at Ripley.  IL,0.062270705,656656.237,0,0.05761769,4433193.264,702086.2935,1312.34262,37.76954,70.9616,22.8934,5.7368,0.320004,32.72078,0.708861
06483500,Rock River near Rock Valley.  IA,0.062386212,498603.4895,0,0.108503404,4789897.777,232399.369,1583.939785,27.65344,96.671,1.244,0.106,0.25847,55.64853,0.63702
06600100,Floyd River at Alton.  IA,0.058399829,635638.2397,0,0.096617651,4763179.556,255303.2261,267.165816,28.87937,97.284,2.1,0,0.304457,58.50686,0.605405
06600500,Floyd River at James.  IA,0.055324257,655794.493,0,0.093812063,4719121.822,228233.3688,886.462805,27.97401,97.916,1.519,0,0.322684,59.49189,0.538468
06602400,Monona-Harrison Ditch near Turin.  IA,0.025024256,468303.4135,0,0.072690949,4650157.979,252063.2926,928.974443,28.54493,78.957,1.25,19.229,0.33283,61.30774,0.455328
06605000,Ocheyedan River near Spencer.  IA,0.064085074,571470.9032,0,0.10640699,4777404.537,320170.4225,440.367288,29.02471,94.052,3.539,0,0.365156,57.82356,0.645498
06605850,Little Sioux River at Linn Grove.  IA,0.065300961,523080.0361,0,0.113131264,4751686.172,316837.7238,1567.264839,29.49026,88.007,6.65,0.383,0.398225,58.17106,0.653655
06606600,Little Sioux River at Correctionville.  IA,0.067928354,611742.0407,0,0.110847956,4705812.145,270011.8424,2519.634143,29.62602,90.804,4.941,0.238,0.3492,58.59298,0.61862
06607200,Maple River at Mapleton.  IA,0.037865723,516696.8924,0,0.084295853,4671023.089,267845.2218,670.0548,30.724,96.638,2.607,0,0.291806,59.85,0.538
06607500,Little Sioux River near Turin.  IA,0.060185121,608694.8352,0,0.103018727,4650102.641,253651.7722,3552.930513,29.89141,92.16,4.164,0.502,0.331636,59.02437,0.588743
06608500,Soldier River at Pisgah.  IA,0.024589007,436985.772,0,0.071015108,4635116.949,256573.5784,408.555583,30.81881,99.39,0.165,0,0.297768,58.90671,0.472461
06609500,Boyer River at Logan.  IA,0.033528382,460133.3333,0,0.083795208,4613824.961,268239.9952,870.199175,31.67123,96.909,1.955,0,0.298642,58.04503,0.519469
06803510,Little Salt Creek near Lincoln.  NE,0.016344294,460133.3431,0,0.047627789,4533413.854,189835.415,43.133037,29.54383,76.445,5.6602,17.7113,0.217246,38.20707,0.362044
06803530,Rock Creek near Ceresco.  NE,0.0215509,460133.3201,0,0.050946802,4546568.033,201974.8313,119.799914,29.79519,89.3346,4.9948,5.5895,0.225015,42.84267,0.361618
06804000,Wahoo Creek at Ithaca.  NE,0.027852215,460133.3333,0,0.064026799,4561166.508,203106.1456,272.265932,31.36564,90.6618,5.1591,3.7125,0.247796,44.1923,0.361044
06804900,Johnson Creek near Memphis.  NE,0.014249694,460133.3333,0,0.044,4560539.114,215761.4697,22.888748,29.84816,82.5624,2.0236,14.762,0.246568,44.192299,0.390845
06807410,West Nishnabotna River at Hancock.  IA,0.04395335,480803.9045,0,0.094112767,4584765.541,301712.2798,610.581079,33.09143,92.219,7.247,0.118,0.339235,56.36702,0.534067
06808500,West Nishnabotna River at Randolph.  IA,0.033890416,460133.3333,0,0.088763421,4527870.065,282568.4256,1328.686073,33.61909,92.756,6.65,0.111,0.343578,55.5605,0.507954
06809210,East Nishnabotna River near Atlantic.  IA,0.040469684,460133.3281,0,0.090609852,4579259.754,326238.5068,439.665015,33.95679,82.181,15.827,0.901,0.309476,54.3734,0.547454
06809500,East Nishnabotna River at Red Oak.  IA,0.036475334,460133.3333,0,0.08837143,4542132.642,311490.8915,894.504244,34.20657,81.534,16.172,1.241,0.312875,53.45819,0.550008
06810000,Nishnabotna River above Hamburg.  IA,0.032461415,460133.3333,0,0.087044554,4497898.331,276215.6254,2809.048022,34.00911,88.529,10.216,0.508,0.329613,53.23139,0.522785
06811500,Little Nemaha River at Auburn.  NE,0.014662701,460133.3333,0,0.048172375,4475152.239,261267.9086,793.125319,31.93296,37.1694,4.8234,57.0227,0.233503,39.918,0.402325
06817000,Nodaway River at Clarinda.  IA,0.02117865,368106.6623,0,0.071800878,4511778.812,330014.0178,761.321338,34.98927,67.507,28.35,2.888,0.313099,46.2804,0.600634
06817700,Nodaway River near Graham.  MO,0.020525511,368106.66,0,0.072277829,4452283.931,323859.7589,1516.225302,35.2756,61.743,33.966,3.038,0.308402,40.20815,0.593005
06819185,East Fork 102 River at Bedford.  IA,0.013890837,276080,0,0.055671891,4502491.953,354886.8277,85.776327,35.99593,49.237,45,4.515,0.335676,30.90318,0.701192
06819500,102 River at Maryville.  MO,0.017004762,368106.6667,0,0.062649824,4467716.515,344391.1644,491.030724,35.99791,48.539,46,4.416,0.335385,33.31511,0.648163
06897000,East Fork Big Creek near Bethany.  MO,0.019439805,368106.6667,0,0.05599178,4461252.018,412782.1887,90.802285,36.94759,7.401,83.539,7.792,0.398348,21.36326,0.696625
06897500,Grand River near Gallatin.  MO,0.015375911,368106.6667,0,0.058340138,4420074.988,419443.1599,2245.705669,36.75782,15.683,77.525,6.036,0.348397,24.96505,0.657607
06898000,Thompson River at Davis City.  IA,0.022651076,368106.6667,0,0.067291579,4499139.922,431653.8511,695.376345,35.57471,32.729,59.838,5.805,0.306515,29.21356,0.716766
06903400,Chariton River near Chariton.  IA,0.033132165,314265.9043,0,0.064638201,4533448.979,478130.5079,185.677803,36.59403,8.858,73.825,16.539,0.32883,21.18545,0.758973
06903700,South Fork Chariton River near Promise City.  IA,0.029305397,326140.7444,0,0.059190475,4516635.694,483767.67,169.523142,36.8966,17.984,58.41,23.048,0.322666,20.97279,0.759716
