1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
05319500,05320500,05387500,05388250,05389400,05410490,05412400,05412500,05413500,05414820,05418400,05418500,05419000,05421000,05422000,05422560,05435500,05444000,05449500,05451210,05451500,05451700,05451900,05452000,05452200,05453000,05453100,05454000,05454220,05454300,05455100,05455500,05457000,05457700,05458000,05458500,05458900,05459500,05462000,05463000,05463500,05464000,05464220,05464500,05465000,05466000,05466500,05467000,05469000,05470000,05470500,05471050,05471200,05471500,05472500,05473400,05473450,05474000,05476750,05479000,05480500,05481000,05481300,05481950,05482300,05482500,05483450,05484000,05484500,05486000,05486490,05487470,05487980,05488200,05489000,05494300,05495000,05495500,05496000,05568800,05570000,05584500,05585000,06483500,06600100,06600500,06602400,06605000,06605850,06606600,06607200,06607500,06608500,06609500,06803510,06803530,06804000,06804900,06807410,06808500,06809210,06809500,06810000,06811500,06817000,06817700,06819185,06819500,06897000,06897500,06898000,06903400,06903700
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORRELATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.921565964,0.921565964,0.759298743,0.722874032,0.15164001,0.410506094,0.6029125,0.661923567,0.271803672,0.099254267,0.284691785,0.357378626,0.30170317,0.723846808,0.580621828,0.236762977,0.337617336,0.146953211,0.806542173,0.589468537,0.681383824,0.521592077,0.447561379,0.459395077,0.462973564,0.439638072,0.591259476,0.343327792,0.332625086,0.308567317,0.312702999,0.320857707,0.785107156,0.811646553,0.798461266,0.793874342,0.701699172,0.829969574,0.815596156,0.580617811,0.386755969,0.768647646,0.438290063,0.731420186,0.674681063,0.25225281,0.249077866,0.293410643,0.332485386,0.57129877,0.523564214,0.574811077,0.540318201,0.512383056,0.420333036,0.383533896,0.337062729,0.463457014,0.906046015,0.900645686,0.904761029,0.78492386,0.886091123,0.505583426,0.69445836,0.621638189,0.412052981,0.437122054,0.570854698,0.387967616,0.381193265,0.313778042,0.268065749,0.251099226,0.313475852,0.207308229,0.280522128,0.214029446,0.295639426,0.250986623,0.224964016,0.227783575,0.225501975,0.831768844,0.749850668,0.711694648,0.54308644,0.836217746,0.876507485,0.830498715,0.519406327,0.777321921,0.251249079,0.384681431,0.142748759,0.25345917,0.175826142,0.123504339,0.408872162,0.445634575,0.403140372,0.413920492,0.451948102,0.342997148,0.444370247,0.451084028,0.418456547,0.447053406,0.303157656,0.440160377,0.39723899,0.237783218,0.269340827
0.759298743,0.770309968,0.770309968,0.760317078,0.206707878,0.473576452,0.618045832,0.696717862,0.308930377,0.139318216,0.324726891,0.397433922,0.334178259,0.749304895,0.612263185,0.320389345,0.399498294,0.225824322,0.799440115,0.600642907,0.674407237,0.485910037,0.453848098,0.461307309,0.460483714,0.461048925,0.587327198,0.389024895,0.362736536,0.347214217,0.356940526,0.357799325,0.852233945,0.847483755,0.833993942,0.830235615,0.696717349,0.868608126,0.840601076,0.604667122,0.422774041,0.802778746,0.452564974,0.750911566,0.692561712,0.282557589,0.292594367,0.324504531,0.340174235,0.557536446,0.50454999,0.554280358,0.483406927,0.490124378,0.434517262,0.377526685,0.338199673,0.461120543,0.853774639,0.880817189,0.867917633,0.78767873,0.858222702,0.504578756,0.655152936,0.592620239,0.413552544,0.444536938,0.569913788,0.397401222,0.378116379,0.305159412,0.279688501,0.271616,0.322025757,0.193287637,0.252012858,0.18170028,0.26425859,0.277678177,0.255100979,0.229366591,0.222821655,0.740305442,0.677670051,0.657379141,0.521426181,0.788323584,0.830149831,0.783194794,0.48643717,0.72410106,0.251070551,0.367630116,0.135114804,0.251672164,0.192521853,0.122588938,0.378978645,0.430495422,0.3798161,0.390445873,0.43512658,0.315775473,0.442412821,0.434889934,0.397380807,0.43540403,0.304717574,0.385307424,0.368961109,0.231128854,0.242339172
0.722874032,0.760317078,0.98061944,0.98061944,0.514111938,0.675370926,0.824784863,0.900193499,0.586713275,0.358597685,0.52764023,0.57437961,0.488163984,0.861351851,0.741236337,0.42907863,0.613623355,0.417179271,0.786272956,0.657742222,0.738127549,0.641004345,0.551329543,0.648436761,0.582914378,0.541059434,0.708994019,0.435755498,0.470819037,0.477352869,0.481317338,0.494081482,0.82746718,0.890778935,0.912110587,0.913001867,0.746964903,0.854025128,0.875923775,0.733595446,0.665372272,0.867494798,0.698125034,0.8458862,0.793775056,0.393187422,0.389252596,0.382269707,0.388252212,0.643073267,0.619987041,0.664886184,0.615406702,0.624664457,0.548128229,0.55259986,0.453347901,0.601953484,0.842128537,0.809690519,0.833489207,0.750954008,0.821662464,0.580958004,0.708618329,0.686477596,0.457605186,0.538622861,0.658776473,0.553899847,0.53923973,0.472048623,0.438095198,0.400600012,0.475725148,0.33961186,0.391620686,0.175803477,0.383631997,0.326617339,0.3116451,0.259232721,0.265504869,0.779249654,0.743018906,0.773915793,0.630169774,0.802611406,0.810485105,0.809409884,0.629794822,0.78942252,0.419446553,0.521060467,0.310954794,0.38189617,0.421907221,0.278711777,0.571798379,0.637873194,0.565165483,0.582271519,0.639833123,0.498246432,0.612165409,0.629857776,0.540396118,0.607859625,0.495057625,0.587310316,0.568080901,0.394568087,0.432187838
0.15164001,0.206707878,0.514111938,0.567829944,0.567829944,0.73990134,0.81291154,0.908278939,0.637650337,0.407720956,0.570226625,0.62408426,0.504551386,0.837070389,0.737543725,0.452526303,0.656011875,0.445912551,0.765767983,0.635531644,0.738064854,0.645450382,0.5689803,0.676306385,0.583233864,0.583597909,0.715832163,0.468237904,0.513101749,0.519840048,0.52900205,0.537823944,0.813254586,0.868731206,0.894970394,0.899198071,0.765530145,0.827207604,0.861351962,0.750041409,0.694867079,0.87026129,0.722220757,0.855679421,0.815578054,0.430665121,0.433476266,0.424684132,0.446849304,0.596300662,0.575618746,0.639892902,0.584136993,0.623192738,0.588560378,0.542482359,0.475122267,0.619910959,0.777510967,0.772049066,0.779154916,0.723728913,0.765458775,0.574452611,0.63657542,0.628259818,0.496863913,0.560520563,0.645570096,0.572293728,0.574353415,0.521356176,0.477823887,0.443396142,0.503970452,0.32972328,0.38403018,0.195213028,0.380117098,0.375194453,0.338425354,0.273080416,0.291808878,0.709357898,0.66270751,0.688586467,0.625492258,0.755686728,0.764294626,0.731739815,0.573676725,0.711135224,0.463018019,0.523768778,0.263623759,0.40206854,0.423794471,0.347909299,0.543536107,0.634445249,0.549475555,0.582530158,0.632479438,0.491522247,0.617007103,0.609530269,0.532679329,0.639428456,0.487448737,0.553724316,0.561970335,0.440981394,0.436910325
0.410506094,0.473576452,0.675370926,0.73990134,0.710081209,0.710081209,0.599445085,0.640900795,0.824019352,0.650848508,0.647206696,0.625298556,0.545457732,0.477468785,0.516956915,0.519573109,0.681310264,0.582973523,0.398748763,0.429887935,0.467874819,0.390148647,0.411297601,0.526064907,0.402112195,0.439739372,0.467653828,0.442001712,0.483743653,0.518419743,0.515917614,0.515398837,0.326764595,0.345437126,0.383926224,0.406070777,0.454222936,0.343693352,0.361639292,0.527860557,0.628151823,0.42761928,0.565206872,0.482004082,0.493385411,0.399122347,0.415207153,0.372527636,0.331955279,0.358206143,0.363423326,0.383995317,0.332793524,0.391531297,0.427627432,0.444441696,0.399214421,0.434274361,0.25865073,0.253668912,0.27887495,0.374862776,0.296605553,0.314375378,0.381457891,0.409315767,0.388786022,0.432521798,0.449923359,0.450178032,0.448952864,0.468901136,0.463439251,0.468482855,0.481441628,0.323102437,0.314778314,0.066983822,0.258894125,0.325650369,0.279865888,0.204638982,0.203827929,0.237472835,0.245038505,0.330353358,0.442219452,0.287792644,0.285376627,0.295469405,0.40742042,0.322863754,0.545088008,0.480633403,0.333869988,0.407479119,0.545047136,0.432939841,0.426158299,0.50700411,0.412567516,0.465044498,0.498588149,0.490380195,0.516831963,0.456530966,0.352522535,0.427550557,0.433230066,0.38090853,0.445193959,0.409413992,0.397115548
0.6029125,0.618045832,0.824784863,0.81291154,0.599445085,0.686944007,0.686944007,0.746638599,0.793030652,0.561843897,0.651544773,0.680848514,0.605052367,0.639512625,0.628658854,0.540496153,0.764874311,0.569971536,0.582858238,0.550861221,0.602006174,0.467496186,0.460612201,0.583328008,0.486692122,0.526329829,0.583766952,0.513072094,0.538398586,0.556374796,0.574458676,0.582812656,0.5740359,0.566267967,0.610013116,0.625842446,0.611759822,0.568338525,0.587793263,0.599712403,0.624231062,0.617824333,0.578271955,0.636603689,0.629492893,0.465772772,0.508194524,0.464438748,0.451435136,0.49456465,0.451531795,0.521244773,0.448525918,0.519115728,0.528850523,0.531982652,0.492486233,0.540940662,0.45917976,0.456861604,0.485590572,0.571350298,0.506564962,0.427060358,0.526258973,0.537045686,0.475004142,0.497837607,0.563882686,0.549331845,0.529950098,0.545490592,0.552716448,0.552082187,0.565072856,0.410425185,0.427360611,0.261386723,0.398958954,0.410934898,0.400870516,0.337769065,0.350928568,0.435110393,0.387127047,0.438802805,0.525221264,0.450595867,0.466270148,0.444049809,0.445809212,0.449276768,0.481445135,0.481900904,0.336863567,0.416589025,0.481098176,0.426596761,0.41732783,0.514097125,0.422981339,0.477463089,0.524972537,0.517912149,0.553603537,0.533407039,0.465985295,0.5386798,0.501578348,0.47643707,0.528581498,0.517522963,0.486797923
