IL_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,Y,X,DA,CLon,SON.Precip,AWC,Drain.Index,STAT.Perm,PermBXThick
05576500,Sangamon River at Riverton.  IL,0.019410734,332660.89,0,,1887961.433,546785.0927,2618.230727,89.080293,3.034742741,19.19835422,5.78856002,1.003286884,1179.362851
05577500,Spring Creek at Springfield.  IL,0.013949706,415826.107,0,,1883980.272,534177.7185,102.800452,89.851624,3.007937452,19,4.478612908,0.995696761,72.86792781
05578500,Salt Creek near Rowell.  IL,0.016996913,291268.8648,0,,1921303.456,586740.3922,334.027097,88.734926,2.972086505,20.45655338,6.993066579,1.076393799,1161.513175
05579500,Lake Fork near Cornland.  IL,0.016517897,286551.7579,0,,1901011.809,559739.0893,213.571987,89.161996,2.975825435,19.54498865,5.22207035,1.200236284,3474.034978
05580000,Kickapoo Creek at Waynesville.  IL,0.015791209,249495.6675,0,,1936490.299,578836.1297,226.381904,88.94981,3.02581162,19.58763541,7.17281495,1.09148988,1007.864132
05580500,Kickapoo Creek near Lincoln.  IL,0.016999133,299583.8823,0,,1927929.963,559825.1089,303.774357,89.01993,3.020516366,19.52973801,7.018035318,1.098927927,1991.102973
05581500,Sugar Creek near Hartsburg.  IL,0.020837347,275977.6266,0,,1931154.717,556077.928,332.423227,89.184833,3.041251693,19.45771118,5.550665748,1.049802426,1799.934536
05582500,Crane Creek near Easton.  IL,0.009734226,329122.139,0,,1931216.601,517332.9348,28.853176,89.798664,2.983305807,20.59608871,7.090531449,2.379845914,18491.61761
05584400,Drowning Fork at Bushnell.  IL,0.03431244,415826.1125,0,,1963203.325,459556.3542,26.561205,90.522318,3.06266146,19,4.014031823,0.994535021,87.30121463
05584500,La Moine River at Colmar.  IL,0.015743274,332660.89,0,,1935597.547,429690.4258,655.100903,90.878891,3.168979445,19.08850882,6.520836489,0.987288303,158.2018325
05585000,La Moine River at Ripley.  IL,0.013876324,332660.89,0,,1902612.642,453881.6281,1293.581694,90.820873,3.170009538,18.92950166,6.329260828,0.959849256,193.9236718
05586000,N Fk Mauvaise Terre Creek near Jacksonville.  IL,0.009822506,332660.89,0,,1875549.646,498188.8993,30.566749,90.052063,3.122162338,19,4.503305971,0.995757419,85.52406019
05587000,Macoupin Creek near Kane.  IL,0.023648287,494010.7272,0,,1815289.004,479132.4544,865.082369,89.998552,3.145258521,18.79973497,6.0379063,0.901249114,257.2301771
05587900,Cahokia Creek at Edwardsville.  IL,0.033515015,460894.8356,0,,1771654.248,517868.1134,211.191821,89.853519,3.182927115,19.03310765,7.236469683,0.905391762,235.3843155
05590000,Kaskaskia Ditch at Bondville.  IL,0.020663046,287444.6399,0,,1925655.646,645762.3667,13.031059,88.339686,3.080196911,20.71202477,3.78872196,1.585961466,300
05590500,Kaskaskia River at Ficklin.  IL,0.02098567,332660.89,0,,1890692.592,647146.1373,126.589906,88.332121,3.131135367,20.79178665,5.153163914,1.363750723,725.6158728
05590800,Lake Fork at Atwood.  IL,0.017779334,302395.8617,0,,1890522.72,637706.4447,152.124481,88.483723,3.085126701,20.91156563,4.763726063,1.200082618,201.4035357
05590950,Kaskaskia River at Chesterville.  IL,0.015326328,316417.181,0,,1879555.793,646157.5659,361.703049,88.417914,3.120439455,20.82360072,5.520864237,1.290742038,341.769395
05591200,Kaskaskia River at Cooks Mills.  IL,0.036932301,83165.2212,0,,1866005.856,645049.7753,476.345249,88.403269,3.142618689,20.8149141,5.700885443,1.28511579,268.1661882
05591700,West Okaw River near Lovington.  IL,0.026814317,374210.429,0,,1880891.902,622635.0997,114.040286,88.654805,3.097913519,20.82789227,4.689131161,1.150326383,187.8418415
05592000,Kaskaskia River at Shelbyville.  IL,0.023871617,381128.5816,0,,1843965.215,615268.8251,1059.887345,88.535411,3.136908937,22.16223675,5.977641879,1.257790794,276.1897665
05592050,Robinson Creek near Shelbyville.  IL,0.025838628,433738.3079,0,,1843065.573,605537.5959,91.140343,88.878859,3.191807354,19.58214528,5.235453719,1.006786671,934.3057411
05592300,Wolf Creek near Beecher City.  IL,0.042435705,776270.9136,0,,1815970.878,615356.5321,48.942407,88.699592,3.228329188,16.62374209,2.645037906,0.542878848,115.7875766
05592500,Kaskaskia River at Vandalia.  IL,0.032566175,524957.4923,0,,1792036.814,592820.5109,1942.746354,88.713282,3.175670903,20.22121351,5.275424056,1.001693912,713.0552017
05592575,Hickory Creek near Brownstown.  IL,0.05778541,794677.566,0,,1790283.428,604641.3109,43.874323,88.863568,3.320603931,16.91240586,2.912705097,0.572143571,25
05592800,Hurricane Creek near Mulberry Grove.  IL,0.030320466,519737.6851,0,,1786883.135,580406.1688,151.676404,89.240022,3.248530128,17.48867062,5.912284516,0.602769795,716.0259853
05592900,East Fork Kaskaskia River near Sandoval.  IL,0.062115027,689367.301,0,,1761793.365,594104.2435,112.163376,88.91389,3.376096722,17.00464655,3.005384656,0.579889327,57.42503189
05593000,Kaskaskia River at Carlyle.  IL,0.034411838,507984.2958,0,,1751213.93,572550.3165,2723.87479,88.824522,3.216654433,20.53798521,4.773024509,0.883867056,801.7696363
05593520,Crooked Creek near Hoffman.  IL,0.044126296,575480.7922,0,,1740158.613,580562.8375,255.839929,89.051801,3.411828956,17.38841547,3.261795122,0.609162627,124.9765126
05593575,Little Crooked Creek near New Minden.  IL,0.054082904,687897.6758,0,,1732006.529,568713.1269,84.039155,89.365277,3.384341041,17.16647277,5.326924561,0.54225751,111.33192
05593600,Blue Grass Creek near Raymond.  IL,0.012201633,415826.1125,0,,1823824.039,552298.8534,19.423874,89.514447,3.170229707,17.77548919,4,0.532821319,156.7262954
