IL_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,Y,X,DA,CLon,SON.Precip,AWC,Drain.Index,STAT.Perm,PermBXThick
03336500,Bluegrass Creek at Potomac. IL,0.0198484836341146,249495.66,0,,1952811.271,689825.283,35.00724,87.840393,2.988448464,16.19426977,4.146852784,0.51136766,1434.331012
03336645,Middle Fork Vermilion River above Oakwood. IL,0.0214175414485737,249495.6675,0,,1932561.28,696265.4545,431.419815,88.010059,2.99090505,16.78952902,4.633212422,0.68185757,3549.639857
03336900,Salt Fork near St. Joseph. IL,0.0170017904086583,249495.6675,0,,1931876.926,671898.9435,134.278027,88.073809,3.025970397,19.95474178,4.196958342,1.241752524,3059.727401
03338000,Salt Fork near Homer. IL,0.0218498770639044,332660.89,0,,1921973.227,679179.9195,337.316583,88.106582,3.064418537,20.28079385,5.122464057,1.23400136,1312.161611
03338500,Vermilion River near Catlin. IL,0.0256170304698539,415826.1125,0,,1928945.02,699154.0741,956.908496,88.014542,3.031140696,18.64401468,5.058362842,0.981543426,1837.116389
03343400,Embarras River near Camargo. IL,0.0171080375489994,310649.6646,0,,1890887.616,662435.0208,185.464833,88.141287,3.145633363,20.73596834,5.584542236,1.358976576,315.7682767
03344000,Embarras River near Diona. IL,0.0382766091907851,332660.89,0,,1841021.979,667818.2806,916.082091,88.101419,3.212310829,20.3631893,6.556794113,1.267436543,554.8144459
03344500,Range Creek near Casey. IL,0.0306746124873722,608765.5991,0,,1840025.606,680016.8612,7.036432,88.005617,3.326678148,17.16794073,3.945945946,0.407843142,25
03345500,Embarras River at Ste. Marie. IL,0.0284373391654792,471382.8198,0,,1796562.576,684298.3463,1510.50047,88.137037,3.260682652,19.37661967,5.76929355,1.06039484,721.5186945
03346000,North Fork Embarras River near Oblong. IL,0.035630310507051,611069.3423,0,,1805302.826,690077.9072,319.791204,87.917143,3.344821924,17.68689239,5.645356952,0.715689251,338.8258759
03378000,Bonpas Creek at Browns. IL,0.0553892468928574,816280.9731,0,,1734772.263,693434.3272,228.220045,87.940175,3.487801147,18.59035554,3.763318453,0.698952142,30.0350397
03378635,Little Wabash River near Effingham. IL,0.040948344992394,630128.5617,0,,1811209.694,634000.9231,238.597012,88.521744,3.293198222,17.8412015,3.74317563,0.800867172,479.8213155
03378900,Little Wabash River at Louisville. IL,0.0590697822854827,730307.2072,0,,1775296.628,645612.1245,745.811279,88.562525,3.358483166,17.41124881,3.221171448,0.662020527,270.8970759
03379500,Little Wabash River below Clay City. IL,0.0550341559908615,718967.7898,0,,1760855.668,663490.2978,1130.578883,88.48507,3.384514566,17.41411728,3.080938577,0.638196032,174.9275858
03380350,Skillet Fork near Luka. IL,0.105924347404371,945457.2077,0,,1745075.721,627541.5506,209.026851,88.749725,3.414569548,17.28594707,3.173023639,0.599284582,146.9174255
03380475,Horse Creek near Keenes. IL,0.0496990022358445,667393.9253,0,,1729559.841,634439.4722,97.085969,88.777498,3.433651294,16.86151129,6.630470872,0.9132074,25
03380500,Skillet Fork at Wayne City. IL,0.0648655173447341,772860.3122,0,,1728044.86,641211.8361,465.320997,88.7229,3.421086575,17.56034031,4.140389711,0.698567151,110.3244166
03381500,Little Wabash River at Carmi. IL,0.0539795144242599,765208.6168,0,,1697636.343,680808.7434,3102.745111,88.445,3.426199931,17.98467218,3.594075574,0.695906067,116.9127106
03382170,Brushy Creek near Harco. IL,0.0346185344545723,611163.5566,0,,1662386.922,640441.6233,13.130297,88.717345,3.567863073,17.50189978,5.928820139,0.869611116,22.04120104
05415000,Galena River at Buncombe. WI.,0.034236378,603128.1024,0,,458853.403,2181924.933,124.669131,90.328544,2.854315217,19.38929152,15.90314319,1.302373878,2.5
05420000,Plum River below Carroll Creek near Savanna. IL,0.0422478898041042,679835.0013,0,,2138955.516,484652.241,230.347753,89.93856,2.95162805,18.08073711,12.9375931,1.290187771,104.7698628
05437000,Pecatonica River at Shirland. IL,0.14876935942806,1595376.26,0,,2179582.428,555675.0433,2548.729697,89.737676,2.859975369,17.06180695,14.78262089,1.822063603,343.6813133
05438250,Coon Creek at Riley. IL,0.10365381431399,750963.0172,0,,2154687.957,603204.8644,86.048858,88.568758,2.984036942,18.95573536,10.40592918,2.546790706,2797.341773
05438500,Kishwaukee River at Belvidere. IL,0.0906143786318098,1044822.217,0,,2161502.966,584483.3949,534.802064,88.599953,2.98279635,18.72222533,11.26491665,3.00565506,6695.971516
05439000,South Branch Kishwaukee River at Dekalb. IL,0.0913191114128948,743378.2743,0,,2125895.784,595607.7454,74.741025,88.832301,2.995698653,20.70310731,4.40918064,1.399866482,291.1703378
05440500,Killbuck Creek near Monroe Center. IL,0.0879591777590431,824735.515,0,,2142981.225,570140.9881,118.087842,88.983421,2.957453559,19.77224366,9.934960301,1.360154765,1752.561246
05441000,Leaf River at Leaf River. IL,0.105673956426918,976560.4652,0,,2144022.316,542242.0154,103.280655,89.506974,2.906363317,20.3703991,10.03736499,1.61037864,222.1413648
05445500,Rock Creek near Morrison. IL,0.0789559124429156,802336.8271,0,,2107649.02,497270.1486,157.750654,89.870433,2.921442634,20.47892811,11.20876846,1.763091578,168.3830101
05446000,Rock Creek at Morrison. IL,0.0547797390011727,738439.0428,0,,2104000.496,496960.3722,164.558028,89.874933,2.920344693,20.4813545,11.14588731,1.752220258,172.069192
05447000,Green River at Amboy. IL,0.031477825615009,525214.0303,0,,2097850.036,550955.3096,198.252238,89.139739,3.051620303,19.61292109,7.039956496,2.245233927,2487.162542
05447500,Green River near Geneseo. IL,0.0512994687839595,633994.3769,0,,2068623.041,483808.3254,998.465169,89.662111,2.985432335,19.14102824,8.566031144,2.786070992,8073.342551
05448000,Mill Creek at Milan. IL,0.0276859571992343,461703.5856,0,,2061421.683,451174.298,62.137576,90.590423,2.859595796,20.42932167,12.56359717,1.318682735,122.2767378
05466000,Edwards River near Orion. IL,0.0310030801913701,415826.1125,0,,2043295.349,467092.79,155.610049,90.155787,2.937517474,19.72315019,6.526200101,1.264181783,1125.265151
05466500,Edwards River near New Boston. IL,0.0404674702420194,625294.4576,0,,2031041.489,418625.7609,444.782685,90.439688,2.896453081,19.86827294,10.37129915,1.366113922,1391.968592
05467000,Pope Creek near Keithsburg. IL,0.0284781926182706,440554.2844,0,,2024665.547,422982.6462,169.620552,90.571017,2.88415807,19.78131155,10.21528145,1.239751825,415.4977952
05467500,Henderson Creek near Little York. IL,0.031593180484014,514215.9779,0,,2015933.788,437956.1774,149.559856,90.473885,2.950957381,19.64262697,7.578352295,1.117362151,254.9155173
05469500,South Henderson Creek at Biggsville. IL,0.0519339984704823,425505.9128,0,,1994566.474,429214.4402,81.164923,90.739392,3.02758166,20.77207812,9.825118211,1.305525636,76.32951102
05495500,Bear Creek near Marcelline. IL,0.00854854641545583,249495.6675,0,,1912628.332,393649.8133,349.285334,91.192605,3.239190362,18.74890983,6.749816347,0.874992701,415.8042216
05502020,Hadley Creek near Barry. IL,0.0155736546350136,415826.1125,0,,1865736.853,419007.7454,40.807987,90.996972,3.310503357,19.63011736,11.73209793,1.154310996,19.34829663
05502040,Hadley Creek at Kinderhook. IL,0.0100647092730232,414953.27,0,,1863036.085,412098.2443,72.358967,91.034008,3.304024847,19.93283388,12.40987542,1.182248236,28.18252077
05513000,Bay Creek at Nebo. IL,0.0103456204434515,415826.1125,0,,1836753.132,443572.899,148.065032,90.780104,3.270996981,20.0949544,13.42402764,1.231520572,135.2615568
05519500,West Creek near Schneider. IN,0.01470356,415826.1019,0,706515.9123,,2054498.255,55.052143,87.496965,3.222325457,15.9496151,6.298930003,0.766517958
05525500,Sugar Creek at Milford. IL,0.0154912332652353,249495.6675,0,,1987718.024,693319.6264,444.879992,87.697865,2.9949753,16.96863604,6.206331346,1.364696295,1814.00756
05526500,Terry Creek near Custer Park. IL,0.0157398327465101,415826.1125,0,,2052422.954,656400.5963,12.122781,88.053678,3.063547213,11.28780244,15.5597169,6.115808873,1836.955069
05527800,Des Plaines River at Russell. IL,0.0369073306191942,607603.0136,0,,2193623.535,658775.3803,122.951388,88.001005,2.854681792,17.48312624,6.951207808,0.722107792,2369.513861
05527950,Mill Creek at Old Mill Creek. IL,0.0331220608707466,749788.579,0,,2185097.888,655960.0762,62.540783,88.024685,2.881941157,17.09862741,8.721114741,0.819634977,1566.291263
05542000,Mazon River near Coal City. IL,0.0184506281947596,415826.1125,0,,2056533.143,634216.9626,452.994836,88.373563,3.047474585,16.11660097,3.359497941,1.391055367,110.2517171
