NY_STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,NORTHING,EASTING,DRNAREA,OUTLET_XM,OUTLET_YM,CENTROID_XM,CENTROID_YM,PRECIP05,PRECIP06,PRECIP07,PRECIPSUM,TMAX06,HYDGRP_A,HYDGRP_B,SL_LO,ELEV1200,ANN_RUNF
1510000,Otselic River at Cincinnatus. NY,0.008213076,227800,0,0.04923296,4726476.18,433823.65,146.905647,426175,4710245,433823.65,4726476.18,3.882128,4.164673,3.876576,11.576286,73.681088,5.657544,8.287664,14.126141,93.484976,24.25501
1512500,Chenango River near Chenango Forks. NY,0.008216555,227800,0,0.049212994,4717589.69,433981.9,1486.725302,429935,4674345,433981.9,4717589.69,3.790429,4.202417,3.782052,11.522218,74.290154,5.942578,12.14334,6.012677,84.911902,22.41967
1513500,Susquehanna River at Vestal. NY,0.007955006,151866.6756,0,0.055384694,4704740.31,460163.47,3945.537986,412605,4660475,460163.47,4704740.31,3.889135,4.22015,3.906136,11.788624,74.46884,5.719996,13.80075,1.946158,85.964654,21.787697
1515000,Susquehanna River near Waverly. NY,0.007864823,227800,0,0.042755917,4698458.15,449216.24,4777.888328,375595,4649265,449216.24,4698458.15,3.83506,4.205626,3.863031,11.709004,74.558912,5.670712,12.69187,1.744317,83.115208,21.289341
1520500,Tioga River at Lindley. NY,0.00775788,227800,0,0.041444576,4638430.01,313061.18,767.503377,323525,4655175,313061.18,4638430.01,3.317817,4.581461,3.514977,11.307403,74.74523,3.169425,2.654242,7.524326,95.287822,14.77882
1525981,Tuscarora Creek above South Addison. NY,0.013194289,379666.6667,0,0.033231973,4665311.37,298057.75,101.128003,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1527500,Cohocton River at Avoca. NY,0.012792591,379666.6667,0,0.04065973,4708429.55,296676.74,155.70948,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
1529500,Cohocton River near Campbell. NY,0.010716009,307304.2952,0,0.039201884,4699298.6,307109.97,467.031635,317115,4680185,307109.97,4699298.6,3.220407,4.293551,3.445711,10.888751,74.857514,12.33165,6.148705,9.466091,90.898524,14.73129
3011020,Allegheny River at Salamanca. NY,0.011269294,382402.7049,0,0.03321311,4654205.3,221112.49,1609.197877,193035,4673865,221112.49,4654205.3,3.681886,5.213874,4.162303,13.345996,74.235776,2.194101,43.0158,1.287109,100,22.36232
4213500,Cattaraugus Creek at Gowanda. NY,0.026224394,525556.1727,0,0.044633142,4707192.85,203763.72,436.414688,176504.55,4708705.41,203763.72,4707192.85,3.560909,4.694106,4.099846,12.818546,74.551262,9.928832,25.57183,14.49238,94.910966,24.66792
4214500,Buffalo Creek at Gardenville. NY,0.123235596,1161666.964,0,0.084344292,4736264.4,213601.6,142.472222,193195,4751515,213601.6,4736264.4,3.293613,4.521906,3.486117,11.908268,75.026102,14.75768,13.21749,13.594848,59.235099,21.53467
4215000,Cayuga Creek near Lancaster. NY,0.023424274,440904.1375,0,0.045535647,4747672.51,216649.27,96.582095,202345,4755045,216649.27,4747672.51,3.163149,4.298508,3.402686,11.344634,75.245288,10.75993,10.46558,18.232861,37.386181,20.03532
4215500,Cazenovia Creek at Ebenezer. NY,0.024800316,488139.6503,0,0.046772098,4731783.62,203198.14,135.553408,191395,4748795,203198.14,4731783.62,3.43761,4.523276,3.829086,12.433539,74.791922,6.57039,15.41426,14.187805,59.434037,23.41262
4216418,Tonawanda Creek at Attica. NY,0.029364806,578852.459,0,0.044741316,4738542.33,230840.3,76.515182,231755,4750935,230840.3,4738542.33,3.433557,4.510567,3.85273,12.149017,74.356826,7.097075,13.66366,14.395278,88.149778,19.12941
4217000,Tonawanda Creek at Batavia. NY,0.025612891,538232.8275,0,0.045298663,4746877.2,235214.19,170.015187,240085,4765505,235214.19,4746877.2,3.331873,4.334937,3.662776,11.70301,75.378416,4.198366,23.38311,3.106763,59.20366,17.39001
4218000,Tonawanda Creek at Rapids. NY,0.018317196,429216.6025,0,0.044430993,4757219.12,228594.3,347.956858,204055,4777595,228594.3,4757219.12,3.238857,4.110579,3.440175,11.166367,76.2728,2.571633,28.45426,7.404797,29.902189,17.59927
4221000,Genesee River at Wellsville. NY,0.011593087,379666.6667,0,0.031311049,4658322.56,265550.02,289.100119,255565,4667625,265550.02,4658322.56,3.56879,4.821752,3.925443,12.35583,74.029298,2.481843,0.644082,9.695274,100,18.55193
4224775,Canaseraga Creek above Dansville. NY,0.018602584,482669.7006,0,0.048005833,4707172.06,268778.51,88.851152,277905,4712795,268778.51,4707172.06,3.231906,4.348098,3.493723,11.376757,74.778656,9.005384,17.10027,52.204562,93.732883,14.0648
4230380,Oatka Creek at Warsaw. NY,0.029881631,674908.639,0,0.043682743,4733282.81,242320.52,39.689996,243195,4737185,242320.52,4733282.81,3.41539,4.332929,3.800719,11.840085,74.342948,7.512517,14.70453,59.851741,93.435623,18.15719
4230500,Oatka Creek at Garbutt. NY,0.016232923,395579.5713,0,0.049429726,4750532.98,251437.78,205.047217,272515,4765725,251437.78,4750532.98,3.238639,4.087177,3.500274,11.265981,76.01198,2.087962,45.46757,14.73837,36.097527,14.38892
4231000,Black Creek at Churchville. NY,0.017516499,467807.99,0,0.049585902,4771823.53,251884.24,130.684455,265455,4776015,251884.24,4771823.53,3.148028,3.830744,3.204952,10.541618,77.306828,0.808539,54.74988,4.570863,2.797232,11.64512
4233286,Sixmile Creek at Brooktondale. NY,0.009800697,227800,0,0.029487708,4695981.33,389498.04,27.039207,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
4233300,Sixmile Creek at Bethel Grove. NY,0.008877074,227800.0191,0,0.036156387,4695081.3,387733.48,38.614288,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
4234000,Fall Creek near Ithaca. NY,0.00952769,227800,0,0.048498745,4711386.93,392723.66,126.201604,378894.01,4701167.58,392723.66,4711386.93,3.510717,4.340535,3.78515,11.644966,74.195852,11.71747,7.306021,11.002392,72.35724,20.08402
4235299,Owasco Inlet below Aurora Street at Moravia. NY,0.013740839,227799.9875,0,0.039692436,4724037.14,385949.48,105.951584,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
4237962,Onondaga Creek near Cardiff. NY,0.010807949,279724.964,0,0.041469756,4745218.59,405068.56,35.273793,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
4240120,Ley Creek at Park Street. Syracuse. NY,0.005716747,151866.6667,0,0.037941644,4771335.56,410526.07,29.808872,404724.53,4770062.73,410526.07,4771335.56,3.447703,3.771299,4.018894,11.343868,77.154728,5.674108,34.20663,4.401973,0,18.71848
4243500,Oneida Creek at Oneida. NY,0.007678495,227799.9935,0,0.046621,4761594.61,451714.67,113.879536,447935,4771825,451714.67,4761594.61,3.815991,4.146886,3.785415,11.764082,75.558884,1.44742,69.63118,15.742648,37.186959,20.65977
4250750,Sandy Creek near Adams. NY,0.0052241,227662.5807,0,0.036319213,4857496.67,431075.18,134.964853,413565,4851705,431075.18,4857496.67,3.87501,3.840563,3.998437,12.06637,73.432508,6.512532,39.37912,21.903301,29.369601,27.56341
4256000,Independence River at Donnattsburg. NY,0.007446373,227800,0,0.032050526,4849860.19,489419.42,89.744409,473145,4843835,489419.42,4849860.19,4.018602,4.155382,4.539823,13.271036,71.996018,0,0,32.985659,98.131526,28.76947
4265432,Grass River at Chase Mills. NY,0.009452529,379666.6667,0,0.026253441,4919326.31,498109.76,597.499813,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
4268800,West Branch Saint Regis River near Parishville. NY,0.023059985,454922.5396,0,0.060180175,4924261.31,536226.35,171.305821,520815,4938385,536226.35,4924261.31,3.51833,4.042209,4.346543,12.949425,73.158872,22.87116,6.460311,22.599844,97.523604,26.28741
4269000,Saint Regis River at Brasher Center. NY,0.022531147,448691.1314,0,0.063834193,4934999.83,536435.35,615.633362,517505,4967835,536435.35,4934999.83,3.2968,3.932572,4.116866,12.391536,74.22188,19.70788,17.25535,32.711623,73.343007,24.19386
4270200,Little Salmon River at Bombay. NY,0.009509914,303733.3333,0,0.041311072,4961651.04,543121.9,89.693052,534945,4976365,543121.9,4961651.04,3.064285,3.670184,4.00552,12.2107,74.322986,8.994702,19.41297,11.131606,21.265121,18.05975
4271815,Little Chazy River near Chazy. NY,0.008859645,379666.667,0,0.030202405,4965810.66,615341.61,49.907332,625135,4973305,615341.61,4965810.66,3.056162,3.350794,3.594643,10.907878,75.115058,16.3164,30.24096,11.599337,7.960816,14.11585
4273700,Salmon River at South Plattsburgh. NY,0.009127765,379666.6667,0,0.038287668,4941276.44,607282.87,63.155788,619365,4944075,607282.87,4941276.44,3.036589,3.489351,3.563371,11.005789,74.867612,31.59676,20.89843,46.834383,31.699202,12.23093
4273800,Little Ausable River near Valcour. NY,0.010842052,379666.6673,0,0.030429911,4933368.48,611642.5,67.926623,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
4275500,Ausable River near Au Sable Forks. NY,0.021316578,499755.1975,0,0.037591945,4906186.75,592992.13,444.826203,607990.57,4922945.42,592992.13,4906186.75,3.698933,4.144882,4.235331,12.948567,71.94353,13.74955,11.16548,53.873704,80.173183,20.76822
4276500,Bouquet River at Willsboro. NY,0.011609216,379666.6692,0,0.040952444,4900640.9,614061.86,270.906177,627943.96,4912976.11,614061.86,4900640.9,3.660563,3.865254,3.762068,11.920692,73.893902,13.73831,16.34829,10.298908,41.871793,15.6992
4276842,Putnam Creek East of Crown Point Center. NY,0.006607958,379666.6673,0,0.03105868,4862173.79,617325.51,51.552558,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
4280450,Mettawee River near Middle Granville. NY,0.005595818,303733.3333,0,0.032007508,4803354.99,647168.92,167.473383,633385,4644615,4650400.35,629057.95,4.629264,4.190551,4.542803,13.422378,75.37352,4.904682,31.19255,9.219028,37.966453,23.37874
